#Circular motion
15.2629 0.784916
15.2744 0.790127
15.286 0.795376
15.2975 0.800664
15.3091 0.805988
15.3207 0.81135
15.3323 0.816747
15.344 0.82218
15.3557 0.827649
15.3674 0.833151
15.3791 0.838687
15.3908 0.844257
15.4026 0.849859
15.4144 0.855493
15.4262 0.861158
15.438 0.866853
15.4499 0.872579
15.4618 0.878333
15.4737 0.884116
15.4856 0.889926
15.4976 0.895763
15.5096 0.901626
15.5216 0.907514
15.5336 0.913427
15.5456 0.919364
15.5577 0.925324
15.5698 0.931305
15.5819 0.937308
15.594 0.943331
15.6062 0.949374
15.6183 0.955435
15.6305 0.961514
15.6428 0.96761
15.655 0.973721
15.6673 0.979848
15.6796 0.985989
15.6919 0.992142
15.7042 0.998308
15.7166 1.00449
15.7289 1.01067
15.7413 1.01687
15.7537 1.02307
15.7662 1.02928
15.7786 1.0355
15.7911 1.04172
15.8036 1.04795
15.8162 1.05418
15.8287 1.06041
15.8413 1.06664
15.8539 1.07288
15.8665 1.07911
15.8791 1.08534
15.8917 1.09156
15.9044 1.09778
15.9171 1.10399
15.9298 1.1102
